"group_id","SPI","ISR","Ecc_X_1","Ecc_Y_1","Ecc_X_2","Ecc_Y_2","low_PGA","mid_PGA","high_PGA","low_IDR_frame","mid_IDR_frame","high_IDR_frame","low_IDR_masonry","mid_IDR_masonry","high_IDR_masonry","low_damage_frame","mid_damage_frame","high_damage_frame","low_damage_masonry","mid_damage_masonry","high_damage_masonry","low_damage_global","mid_damage_global","high_damage_global","sequence_frame","sequence_masonry","sequence_global","controller_sequence"
"0","6","1.0","0.0","0.0","0.0","0.0","18.0","50.0","125.0","0.0002296466666666","0.0007636755555555","0.002682","0.0002436443333333","0.00070975","0.00194603","0","0","2","0","1","2","0","1","2","0/0/2","0/1/2","0/1/2","tie/masonry/tie"
"1","6","1.0","0.0","0.0","0.0","0.0731","18.0","50.0","125.0","0.0002372044444444","0.0007715222222222","0.0026244","0.0002514673333333","0.0007353","0.00194938","0","0","2","0","1","2","0","1","2","0/0/2","0/1/2","0/1/2","tie/masonry/tie"
"2","6","1.0","0.0","0.0","0.0","0.1472","18.0","50.0","125.0","0.0002327666666666","0.0007689377777777","0.0026154888888888","0.0002441373333333","0.0007205366666666","0.00195729","0","0","2","0","1","2","0","1","2","0/0/2","0/1/2","0/1/2","tie/masonry/tie"
"3","6","1.0","0.0","0.0","0.0","0.2146","18.0","50.0","125.0","0.0002058371111111","0.0006777555555555","0.0025426","0.0002357443333333","0.0007135233333333","0.0020647333333333","0","0","2","0","1","2","0","1","2","0/0/2","0/1/2","0/1/2","tie/masonry/tie"
"4","6","1.0","0.0","0.0","0.0256","0.1236","18.0","50.0","125.0","0.0002399","0.0007402711111111","0.0026792666666666","0.000236443","0.0006980366666666","0.00194673","0","0","2","0","1","2","0","1","2","0/0/2","0/1/2","0/1/2","tie/masonry/tie"
"5","6","1.0","0.0","0.0","0.0342","0.0861","18.0","50.0","125.0","0.0002396066666666","0.0007422733333333","0.0027897111111111","0.000239878","0.0007001333333333","0.0018987033333333","0","0","2","0","1","2","0","1","2","0/0/2","0/1/2","0/1/2","tie/masonry/tie"
"6","6","1.0","0.0","0.0","0.048","0.2012","18.0","50.0","125.0","0.0002201877777777","0.00071174","0.0026428","0.0002329763333333","0.0007271433333333","0.00212338","0","0","2","0","1","2","0","1","2","0/0/2","0/1/2","0/1/2","tie/masonry/tie"
"7","6","1.0","0.0","0.0","0.0682","0.0","18.0","50.0","125.0","0.0002062035555555","0.0007285088888888","0.0026384666666666","0.0002547173333333","0.0007579466666666","0.0019226066666666","0","0","2","0","1","2","0","1","2","0/0/2","0/1/2","0/1/2","tie/masonry/tie"
"8","6","1.0","0.0","0.0","0.0872","0.0","18.0","50.0","125.0","0.0002347888888888","0.0007588422222222","0.0027295333333333","0.0002369323333333","0.00072558","0.0019506933333333","0","0","2","0","1","2","0","1","2","0/0/2","0/1/2","0/1/2","tie/masonry/tie"
"9","6","1.0","0.0","0.0","0.1126","0.0","18.0","50.0","125.0","0.0001931786666666","0.0007070066666666","0.0024420444444444","0.0002649773333333","0.0007603833333333","0.00204146","0","0","1","0","1","2","0","1","2","0/0/1","0/1/2","0/1/2","tie/masonry/masonry"
"10","6","1.0","0.0","0.0766","0.0","0.0","18.0","50.0","125.0","0.0002312066666666","0.0007783066666666","0.0026859555555555","0.0002410423333333","0.00070188","0.0019378466666666","0","0","2","0","1","2","0","1","2","0/0/2","0/1/2","0/1/2","tie/masonry/tie"
